ID,LACT,DIMatSample,DIMatBreeding,DateofBreeding,ReasonBred,Milking.Shift,Fat...D,CU.Protein,CU.Lactose,Tot.Solids,SNF,NPN.CU,Denovo.FA,Mixed.FA,Performed.FA,DeNovo.Cal.Rel.,Mixed.Cal.Rel..,Preformed.Cal.Rel..,mChainL,mUnsat,PalmiticAcid,StearicAcid,OleicAcid,C181T10,C181T11,SatFAmasspermass,MonoFAmasspermass,PolyFAsmasspermass,FreeFA,CisFAmasspermass,TransFAmasspermass,CitricAcid,BHB,Acetone,Blood.NEFA..ueq.L.,Conductivity,preg
1817,5,71,89,4/23/16,TimeBred,M1,5.03085,2.67325,4.3094,13.0625,8.0105,10.2,1.125,1.605,2.255,22.61,32.21,45.18,14.57,0.315,1.62,0.55,1.01,0.041,0.07,3.31,1.36,0.23,0.2,1.33,0.17,1896,0.105,0.14,282.61,7.225,FALSE
1817,5,72,89,4/23/16,TimeBred,M1,4.2192,2.98825,4.3631,12.634,8.405,13.2,0.83,1.305,1.945,20.31,32.04,47.65,14.78,0.355,1.29,0.43,1.02,0.032,0.067,2.57,1.31,0.21,0.4,1.31,0.14,1704,0.13,0.155,492.205,7.555,FALSE
1817,5,73,89,4/23/16,TimeBred,M1,3.67315,2.9126,4.4666,12.1065,8.424,11,0.81,1.185,1.575,22.71,33.275,44.015,14.63,0.33,1.21,0.35,0.81,0.025,0.041,2.4,1.03,0.18,0.7,1.07,0.09,1062,0.045,0.075,375.37,7.61,FALSE
1817,5,74,89,4/23/16,TimeBred,M1,3.46285,3.10545,4.46305,12.097,8.6305,10.55,0.805,1.15,1.41,23.915,34.225,41.865,14.505,0.315,1.14,0.3,0.75,0.024,0.028,2.25,0.95,0.17,0.7,1,0.07,1064,0.03,0.05,375.48,7.555,FALSE
1817,5,77,89,4/23/16,TimeBred,M1,3.63155,3.24275,4.41745,12.368,8.7355,12.65,0.97,1.255,1.365,27.04,34.85,38.11,14.185,0.27,1.24,0.34,0.61,0.022,0.038,2.53,0.82,0.16,0.7,0.85,0.08,1256,0.035,0.095,306.68,7.365,FALSE
1817,5,78,89,4/23/16,TimeBred,M1,3.587,3.2309,4.53285,12.427,8.842,13.15,0.91,1.27,1.335,25.86,36.125,38.015,14.285,0.285,1.25,0.31,0.62,0.022,0.037,2.43,0.84,0.15,0.6,0.86,0.08,1367,0.045,0.075,317.7,7.26,FALSE
1817,5,79,89,4/23/16,TimeBred,M1,3.8517,3.1439,4.4734,12.541,8.687,13.6,1,1.33,1.46,26.31,35.25,38.44,14.22,0.28,1.33,0.35,0.66,0.024,0.044,2.66,0.89,0.17,0.4,0.91,0.09,1338,0.05,0.09,324.29,7.18,FALSE
1817,5,93,89,4/23/16,TimeBred,M1,3.166,3.1231,4.5038,11.864,8.697,11.6,0.77,1.17,1.11,25.33,38.2,36.47,14.43,0.29,1.17,0.25,0.59,0.018,0.021,2.17,0.75,0.11,1.1,0.77,0.05,1162,0.02,0.02,249.42,7.37,FALSE
1828,5,40,58,10/30/16,Lut2,M1,4.8499,2.7799,4.6062,13.338,8.474,9.8,1.11,1.73,1.79,23.89,37.41,38.7,14.25,0.27,1.62,0.49,1.01,0.021,0.044,3.18,1.28,0.17,1.5,1.32,0.08,1354,0.08,0.06,195.92,7.04,FALSE
1828,5,54,58,10/30/16,Lut2,M1,3.7217,2.9679,4.6054,12.385,8.659,12.9,0.81,1.36,1.37,22.89,38.36,38.75,14.47,0.29,1.28,0.39,0.74,0.019,0.035,2.45,0.97,0.12,1.4,0.99,0.06,1397,0.05,0.04,221.06,7.24,FALSE
